평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000002,2030111007,더불어 숲,대구,북구,35151,0,10670,17693,11300
2023,LIBTYPE000002,2030111012,제3의시간,서울,종로구,4434,1,0,0,65580
2023,LIBTYPE000002,2060141162,가람도서관,경기,파주시,58903,7,20625,100145,65832
2023,LIBTYPE000002,2060111042,가온도서관,서울,중구,82131,6,6387,70236,117010
2023,LIBTYPE000002,2060125007,갈마도서관,대전,서구,213371,4,6834,122711,121352
2023,LIBTYPE000002,2060111092,갈산도서관,서울,양천구,52158,7,66448,117012,134416
2023,LIBTYPE000002,2060123011,갈산도서관,인천,부평구,29204,4,2990,28370,21294
2023,LIBTYPE000002,2060143024,감곡도서관,충북,음성군,38390,1,606,8858,12086
2023,LIBTYPE000002,2060147006,감포도서관,경북,경주시,59770,1,469,10753,24080
2023,LIBTYPE000002,2060143026,강내도서관,충북,청주시,90704,2,26675,104326,44100
2023,LIBTYPE000002,2060111067,개봉도서관,서울,구로구,36771,2,6017,45476,21834
2023,LIBTYPE000002,2060111018,거마도서관,서울,송파구,51570,5,9459,77739,42000
2023,LIBTYPE000002,2060823014,검단도서관,인천,서구,82520,3,6832,116955,60592
2023,LIBTYPE000002,2060123028,검암도서관,인천,서구,52711,5,17537,122397,132424
2023,LIBTYPE000002,2060147038,경북도서관,경북,예천군,168270,7,8099,250161,784324
2023,LIBTYPE000002,2060144001,계룡도서관,충남,계룡시,79535,2,6694,71024,65195
2023,LIBTYPE000002,2060142020,관전도서관,강원,철원군,34924,1,552,8303,20000
2023,LIBTYPE000002,2060125023,관평도서관,대전,유성구,32977,6,5979,137335,68415
2023,LIBTYPE000002,2060141282,광남도서관,경기,광주시,32527,4,0,0,580000
2023,LIBTYPE000002,2060141201,광적도서관,경기,양주시,45783,4,4966,22515,41810
2023,LIBTYPE000002,2060121028,교리도서관,부산,기장군,26109,3,3771,88244,53240
2023,LIBTYPE000002,2060141096,교하도서관,경기,파주시,201782,10,16253,239502,171952
2023,LIBTYPE000002,2060125022,구암도서관,대전,유성구,58205,2,7311,82943,81201
2023,LIBTYPE000002,2060125011,구즉도서관,대전,유성구,95136,3,7315,99918,70460
2023,LIBTYPE000002,20601110046,글빛도서관,서울,성북구,22046,6,10000,127377,29500
2023,LIBTYPE000002,2060121019,금곡도서관,부산,북구,74757,4,5892,97067,108349
2023,LIBTYPE000002,2060141265,금사도서관,경기,여주시,15629,0.5,956,22530,20000
2023,LIBTYPE000002,2060121027,금샘도서관,부산,금정구,74299,8.5,19074,364152,170230
2023,LIBTYPE000002,2060121008,금정도서관,부산,금정구,247239,10,13619,268022,186011
2023,LIBTYPE000002,2060121009,기장도서관,부산,기장군,191108,7,6291,100500,103000
2023,LIBTYPE000002,2060123018,꿈벗도서관,인천,중구,43594,4,846,15257,33862
2023,LIBTYPE000002,2060121002,남구도서관,부산,남구,280802,13,15482,339120,226657
2023,LIBTYPE000002,2060142039,남면도서관,강원,홍천군,19896,0.5,477,10683,27019
2023,LIBTYPE000002,2060131014,남목도서관,울산,동구,36189,2,2689,30724,60000
2023,LIBTYPE000002,2060141217,남사도서관,경기,용인시,84520,4,13942,167299,148847
2023,LIBTYPE000002,2060123022,내가도서관,인천,강화군,16630,0,151,3047,14917
2023,LIBTYPE000002,2060148011,내서도서관,경남,창원시,132074,2,4759,114520,93873
2023,LIBTYPE000002,2060125019,노은도서관,대전,유성구,93034,4,12328,187050,76829
2023,LIBTYPE000002,2060141179,논골도서관,경기,성남시,17313,1,4489,16182,11082
2023,LIBTYPE000002,2060111013,논현도서관,서울,강남구,50835,5,13666,94604,68319
2023,LIBTYPE000002,2060141203,능평도서관,경기,광주시,75865,3,6721,149664,89860
2023,LIBTYPE000002,2060121013,다대도서관,부산,사하구,156774,7.5,40865,136693,197783
2023,LIBTYPE000002,2060147037,다산도서관,경북,고령군,29348,3,823,20296,49600
2023,LIBTYPE000002,2060147007,단석도서관,경북,경주시,50609,2,4221,6816,24523
2023,LIBTYPE000002,2060111033,대림도서관,서울,영등포구,70350,8,11594,173094,127279
2023,LIBTYPE000002,2060141199,대부도서관,경기,안산시,46426,1,1528,25449,29600
2023,LIBTYPE000002,2060141240,대신도서관,경기,여주시,28751,1,1581,65562,3000
2023,LIBTYPE000002,2060111014,대치도서관,서울,강남구,59388,6,17795,136060,57820
2023,LIBTYPE000002,2060121003,동구도서관,부산,동구,126216,5,4091,90256,91408
2023,LIBTYPE000002,2050149004,동녘도서관,제주,제주시,93160,4,1314,53912,68760
2023,LIBTYPE000002,2060148008,동부도서관,경남,창원시,153118,6,10363,175128,98669
2023,LIBTYPE000002,2060123009,동양도서관,인천,계양구,46904,3,3085,40664,28084
2023,LIBTYPE000002,2060121004,만덕도서관,부산,북구,136283,5,8691,158715,113518
2023,LIBTYPE000002,2060141274,만선도서관,경기,광주시,19587,6,1238,11747,64200
2023,LIBTYPE000002,2030141007,만화도서관,경기,부천시,216277,1,45,1645,60000
2023,LIBTYPE000002,2060121011,망미도서관,부산,수영구,79869,2,42720,122103,58680
2023,LIBTYPE000002,2060131011,매곡도서관,울산,북구,50729,2,8708,170924,48518
2023,LIBTYPE000002,2060143008,매포도서관,충북,단양군,46784,0,204,8046,14280
2023,LIBTYPE000002,2060148028,명곡도서관,경남,창원시,100600,4,11239,138392,102033
2023,LIBTYPE000002,2030145001,명봉도서관,전북,정읍시,27682,1,154,2076,6304
2023,LIBTYPE000002,2060142024,모루도서관,강원,강릉시,100245,3,31684,99037,77527
2023,LIBTYPE000002,2060111037,문래도서관,서울,영등포구,65805,10,12729,232391,96000
2023,LIBTYPE000002,20601110024,미감도서관,서울,양천구,21150,3,6529,38555,100630
2023,LIBTYPE000002,2060121006,반여도서관,부산,해운대구,62134,2,1479,4292,42000
2023,LIBTYPE000002,2060141228,반월도서관,경기,안산시,40040,1,3955,37631,29248
2023,LIBTYPE000002,20601110013,방배도서관,서울,서초구,20357,2,10997,67745,40034
2023,LIBTYPE000002,2060123003,백령도서관,인천,옹진군,39455,0,240,480,3000
2023,LIBTYPE000002,2060141194,별빛도서관,경기,남양주시,95432,3,14357,294027,84442
2023,LIBTYPE000002,2060141137,보라도서관,경기,용인시,153079,5,16074,274544,156459
2023,LIBTYPE000002,2060141174,본오도서관,경기,안산시,35603,1,3996,27825,28668
